TOWNCODE,COUNTYNAME,TOWNNAME,median_household_income,gini_index,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,tax_household_count
63000070,臺北市,萬華區,441.9362439105711,0.5414800284233829,0.05464600259438793,4002,107974.0
63000080,臺北市,文山區,577.1238040566399,0.5675426223806396,0.026898409024540607,2487,177684.0
63000090,臺北市,南港區,525.398647793168,0.5824193994154427,0.02861956972967693,1172,78982.0
63000100,臺北市,內湖區,598.3883535453976,0.581533551234603,0.01371353493050851,1336,195098.0
63000110,臺北市,士林區,529.785744933659,0.6310163585695262,0.026579182692825668,2467,181788.0
63000120,臺北市,北投區,531.5390129549661,0.5791113776304856,0.02886748779698013,2407,162100.0
64000010,高雄市,鹽埕區,389.3562874251497,0.5419776064525827,0.03056640625,313,12692.0
64000020,高雄市,鼓山區,533.5247492801112,0.5364433868433219,0.013433055239075306,731,80568.0
64000030,高雄市,左營區,514.3166707968987,0.5066805863443761,0.014065875920455046,957,112988.0
64000040,高雄市,楠梓區,469.1099258056181,0.47771723000048866,0.01665671550391157,1088,108364.0
64000050,高雄市,三民區,461.98162595813136,0.5070690467984247,0.014246529798021776,1714,190214.0
64000060,高雄市,新興區,484.8343336160219,0.5535572544891224,0.017173833819241983,377,30658.0
64000070,高雄市,前金區,489.0824005715647,0.5547897806379269,0.018643788153770005,226,16796.0
64000080,高雄市,苓雅區,467.78783287987466,0.5335205695235626,0.01513879822189064,974,97032.0
64000090,高雄市,前鎮區,447.4342115744613,0.5004090254141641,0.020167090446785326,1388,100428.0
64000100,高雄市,旗津區,359.01551597502754,0.4632939130320196,0.044442204978333164,441,10892.0
64000110,高雄市,小港區,434.86791967646167,0.4527491278072769,0.015116678105696637,881,85554.0
64000120,高雄市,鳳山區,441.66445660094627,0.4793249838139128,0.011597522420801342,1438,194866.0
64000130,高雄市,林園區,404.964386693136,0.44347692402432637,0.030010852324901912,719,33246.0
64000140,高雄市,大寮區,373.5556445902128,0.506406425326547,0.021041005108380504,762,53662.0
