年月,縣市,用電性質,售電量(度),用電佔比(%),,
11502,連江縣,農林漁牧,5340,0.09,,
11502,連江縣,工業,627194,10.71,,
11501,新北市,住宅,594908377,39.8,,
11501,新北市,服務業,"458,753,827",30.69,,
11501,新北市,農林漁牧,1805840,0.12,,
11501,新北市,工業,439461587,29.4,,
11501,台北市,住宅,362182159,34.93,,
11501,台北市,服務業,"634,398,595",61.18,,
11501,台北市,農林漁牧,145984,0.01,,
11501,台北市,工業,40244765,3.88,,
11501,桃園市,住宅,362976023,16.14,,
11501,桃園市,服務業,"324,087,432",14.41,,
11501,桃園市,農林漁牧,4048475,0.18,,
11501,桃園市,工業,1558090339,69.27,,
11501,台中市,住宅,445818165,17.39,,
11501,台中市,服務業,"404,347,010",15.77,,
11501,台中市,農林漁牧,10756424,0.42,,
11501,台中市,工業,1702444539,66.41,,
11501,台南市,住宅,287953285,11.55,,
11501,台南市,服務業,"214,056,052",8.59,,
11501,台南市,農林漁牧,31388843,1.26,,
11501,台南市,工業,1959394319,78.6,,
11501,高雄市,住宅,454366347,18.8,,
11501,高雄市,服務業,"374,759,309",15.5,,
11501,高雄市,農林漁牧,20182360,0.83,,
11501,高雄市,工業,1568122798,64.87,,
11501,宜蘭縣,住宅,69192392,26.82,,
11501,宜蘭縣,服務業,"58,696,079",22.75,,
11501,宜蘭縣,農林漁牧,4458636,1.73,,
11501,宜蘭縣,工業,125637470,48.7,,
11501,新竹縣,住宅,96040589,10.05,,
11501,新竹縣,服務業,"73,018,125",7.64,,
11501,新竹縣,農林漁牧,1534870,0.16,,
11501,新竹縣,工業,785306629,82.15,,
11501,苗栗縣,住宅,81064124,15.29,,
11501,苗栗縣,服務業,"48,370,384",9.12,,
11501,苗栗縣,農林漁牧,2106824,0.4,,
11501,苗栗縣,工業,398779725,75.2,,
11501,彰化縣,住宅,174872304,19.3,,
11501,彰化縣,服務業,"217,029,907",23.95,,
11501,彰化縣,農林漁牧,35017874,3.86,,
11501,彰化縣,工業,479341046,52.89,,
11501,南投縣,住宅,62649083,29.99,,
11501,南投縣,服務業,"45,648,585",21.85,,
11501,南投縣,農林漁牧,8851357,4.24,,
11501,南投縣,工業,91782258,43.93,,
11501,雲林縣,住宅,98704560,22.96,,
11501,雲林縣,服務業,"56,897,751",13.23,,
11501,雲林縣,農林漁牧,30983399,7.21,,
11501,雲林縣,工業,243335216,56.6,,
11501,嘉義縣,住宅,69932588,28.87,,
11501,嘉義縣,服務業,"37,632,740",15.54,,
11501,嘉義縣,農林漁牧,19183087,7.92,,
11501,嘉義縣,工業,115486561,47.68,,
11501,屏東縣,住宅,122711064,33.45,,
11501,屏東縣,服務業,"79,703,101",21.73,,
11501,屏東縣,農林漁牧,59144561,16.12,,
11501,屏東縣,工業,105241509,28.69,,
11501,台東縣,住宅,29427982,42.22,,
11501,台東縣,服務業,"26,891,791",38.58,,
11501,台東縣,農林漁牧,2424682,3.48,,
11501,台東縣,工業,10954451,15.72,,
11501,花蓮縣,住宅,45465320,26.46,,
11501,花蓮縣,服務業,"45,199,809",26.3,,
11501,花蓮縣,農林漁牧,1869250,1.09,,
11501,花蓮縣,工業,79322648,46.16,,
11501,基隆市,住宅,47751949,47.46,,
11501,基隆市,服務業,"36,262,351",36.04,,
11501,基隆市,農林漁牧,6029,0.01,,
11501,基隆市,工業,16584932,16.49,,
11501,新竹市,住宅,81244830,11.73,,
11501,新竹市,服務業,"80,526,733",11.62,,
11501,新竹市,農林漁牧,629326,0.09,,
11501,新竹市,工業,530492027,76.56,,
11501,嘉義市,住宅,37826793,46.46,,
11501,嘉義市,服務業,"36,336,502",44.63,,
11501,嘉義市,農林漁牧,555308,0.68,,
11501,嘉義市,工業,6694862,8.22,,
11501,澎湖縣,住宅,14046843,42.68,,
11501,澎湖縣,服務業,"13,799,871",41.93,,
11501,澎湖縣,農林漁牧,376186,1.14,,
11501,澎湖縣,工業,4687171,14.24,,
11501,金門縣,住宅,10911685,48.37,,
11501,金門縣,服務業,"9,054,003",40.14,,
11501,金門縣,農林漁牧,245876,1.09,,
11501,金門縣,工業,2346456,10.4,,
11501,連江縣,住宅,2546565,41.41,,
11501,連江縣,服務業,"2,833,506",46.07,,
11501,連江縣,農林漁牧,6437,0.1,,
11501,連江縣,工業,763625,12.42,,
11412,新北市,住宅,690438244,42.95,,
11412,新北市,服務業,"466,678,790",29.03,,
11412,新北市,農林漁牧,1641253,0.1,,
11412,新北市,工業,448886522,27.92,,
11412,台北市,住宅,402912471,36.35,,
11412,台北市,服務業,"668,862,158",60.34,,
11412,台北市,農林漁牧,147461,0.01,,
11412,台北市,工業,36514187,3.29,,
11412,桃園市,住宅,430456094,19.39,,
11412,桃園市,服務業,"348,258,057",15.69,,
11412,桃園市,農林漁牧,4404355,0.2,,
11412,桃園市,工業,1436834793,64.72,,
11412,台中市,住宅,518910220,21.86,,
11412,台中市,服務業,"433,368,591",18.26,,
11412,台中市,農林漁牧,11743715,0.49,,
11412,台中市,工業,1409351313,59.38,,
11412,台南市,住宅,333686351,14.46,,
11412,台南市,服務業,"234,740,061",10.17,,
11412,台南市,農林漁牧,33860443,1.47,,
11412,台南市,工業,1706142256,73.91,,
11412,高雄市,住宅,418289912,18.25,,
11412,高雄市,服務業,"404,703,102",17.65,,
11412,高雄市,農林漁牧,21134100,0.92,,
11412,高雄市,工業,1448377320,63.18,,
11412,宜蘭縣,住宅,82770028,31.57,,
11412,宜蘭縣,服務業,"58,794,450",22.43,,
11412,宜蘭縣,農林漁牧,4962241,1.89,,
11412,宜蘭縣,工業,115632636,44.11,,
11412,新竹縣,住宅,116450143,30.94,,
11412,新竹縣,服務業,"81,480,455",21.65,,
11412,新竹縣,農林漁牧,1505388,0.4,,
11412,新竹縣,工業,176969911,47.02,,
11412,苗栗縣,住宅,81607345,13.9,,
11412,苗栗縣,服務業,"50,821,107",8.66,,
11412,苗栗縣,農林漁牧,2330678,0.4,,
11412,苗栗縣,工業,452222746,77.04,,
11412,彰化縣,住宅,193001221,20.47,,
11412,彰化縣,服務業,"228,513,199",24.24,,
11412,彰化縣,農林漁牧,38014802,4.03,,
11412,彰化縣,工業,483160509,51.25,,
11412,南投縣,住宅,81450355,34.98,,
11412,南投縣,服務業,"52,033,426",22.35,,
11412,南投縣,農林漁牧,9859666,4.23,,
11412,南投縣,工業,89487260,38.43,,
11412,雲林縣,住宅,107012281,25.6,,
11412,雲林縣,服務業,"58,961,049",14.1,,
11412,雲林縣,農林漁牧,33835614,8.09,,
11412,雲林縣,工業,218285276,52.21,,
11412,嘉義縣,住宅,68985448,27.98,,
11412,嘉義縣,服務業,"39,780,766",16.13,,
11412,嘉義縣,農林漁牧,20716186,8.4,,
11412,嘉義縣,工業,117105339,47.49,,
11412,屏東縣,住宅,123326144,32.41,,
11412,屏東縣,服務業,"88,156,831",23.17,,
11412,屏東縣,農林漁牧,60314590,15.85,,
11412,屏東縣,工業,108737862,28.57,,
11412,台東縣,住宅,34965960,44.78,,
11412,台東縣,服務業,"29,110,874",37.28,,
11412,台東縣,農林漁牧,2585861,3.31,,
11412,台東縣,工業,11424631,14.63,,
11412,花蓮縣,住宅,53052220,27.55,,
11412,花蓮縣,服務業,"48,011,415",24.93,,
11412,花蓮縣,農林漁牧,2192522,1.14,,
11412,花蓮縣,工業,89292746,46.37,,
11412,基隆市,住宅,62458319,53.39,,
11412,基隆市,服務業,"38,094,031",32.56,,
11412,基隆市,農林漁牧,13311,0.01,,
11412,基隆市,工業,16416491,14.03,,
11412,新竹市,住宅,75240082,12.98,,
11412,新竹市,服務業,"87,701,909",15.13,,
11412,新竹市,農林漁牧,708011,0.12,,
11412,新竹市,工業,416144113,71.77,,
11412,嘉義市,住宅,42964643,48.06,,
11412,嘉義市,服務業,"38,835,646",43.44,,
11412,嘉義市,農林漁牧,670066,0.75,,
11412,嘉義市,工業,6923758,7.75,,
11412,澎湖縣,住宅,14480093,43.87,,
11412,澎湖縣,服務業,"13,508,167",40.92,,
11412,澎湖縣,農林漁牧,380190,1.15,,
11412,澎湖縣,工業,4639454,14.06,,
11412,金門縣,住宅,9455941,45.09,,
11412,金門縣,服務業,"8,825,547",42.09,,
11412,金門縣,農林漁牧,253874,1.21,,
11412,金門縣,工業,2435267,11.61,,
11412,連江縣,住宅,2294160,39.91,,
11412,連江縣,服務業,"2,747,291",47.8,,
11412,連江縣,農林漁牧,6496,0.11,,
11412,連江縣,工業,700039,12.18,,
11411,新北市,住宅,932290650,47.11,,
11411,新北市,服務業,578039499,29.21,,
11411,新北市,農林漁牧,2519561,0.13,,
11411,新北市,工業,465934453,23.55,,
11411,台北市,住宅,572644416,41.19,,
11411,台北市,服務業,767185634,55.19,,
11411,台北市,農林漁牧,176538,0.01,,
11411,台北市,工業,50115533,3.61,,
11411,桃園市,住宅,501713922,20.66,,
11411,桃園市,服務業,392117489,16.15,,
11411,桃園市,農林漁牧,5346811,0.22,,
11411,桃園市,工業,1529329281,62.97,,
11411,台中市,住宅,669200994,22.58,,
11411,台中市,服務業,510585795,17.22,,
11411,台中市,農林漁牧,13244872,0.45,,
11411,台中市,工業,1771218084,59.75,,
11411,台南市,住宅,431377398,15.73,,
11411,台南市,服務業,271580754,9.91,,
11411,台南市,農林漁牧,40874070,1.49,,
11411,台南市,工業,1997712722,72.87,,
11411,高雄市,住宅,690892147,25.66,,
11411,高雄市,服務業,464571244,17.25,,
11411,高雄市,農林漁牧,24046723,0.89,,
11411,高雄市,工業,1512891536,56.19,,
11411,宜蘭縣,住宅,96689286,33.81,,
11411,宜蘭縣,服務業,72042437,25.19,,
11411,宜蘭縣,農林漁牧,6811576,2.38,,
11411,宜蘭縣,工業,110419219,38.61,,
11411,新竹縣,住宅,141531204,12.82,,
11411,新竹縣,服務業,90253574,8.17,,
11411,新竹縣,農林漁牧,2155845,0.2,,
11411,新竹縣,工業,870369419,78.82,,
11411,苗栗縣,住宅,122336224,20.25,,
11411,苗栗縣,服務業,60431577,10,,
11411,苗栗縣,農林漁牧,3061241,0.51,,
11411,苗栗縣,工業,418263666,69.24,,
11411,彰化縣,住宅,257237879,25.34,,
11411,彰化縣,服務業,240387684,23.68,,
11411,彰化縣,農林漁牧,47913803,4.72,,
11411,彰化縣,工業,469641544,46.26,,
11411,南投縣,住宅,81796751,33.95,,
11411,南投縣,服務業,55666743,23.1,,
11411,南投縣,農林漁牧,11025948,4.58,,
11411,南投縣,工業,92472344,38.38,,
11411,雲林縣,住宅,149295078,29.21,,
11411,雲林縣,服務業,75397285,14.75,,
11411,雲林縣,農林漁牧,41890531,8.2,,
11411,雲林縣,工業,244471011,47.84,,
11411,嘉義縣,住宅,102532173,35.31,,
11411,嘉義縣,服務業,47815570,16.47,,
11411,嘉義縣,農林漁牧,25745518,8.87,,
11411,嘉義縣,工業,114285062,39.36,,
11411,屏東縣,住宅,173440135,38.75,,
11411,屏東縣,服務業,101645548,22.71,,
11411,屏東縣,農林漁牧,65069271,14.54,,
11411,屏東縣,工業,107463739,24.01,,
11411,台東縣,住宅,39708312,45.33,,
11411,台東縣,服務業,33568877,38.32,,
11411,台東縣,農林漁牧,2749376,3.14,,
11411,台東縣,工業,11580947,13.22,,
11411,花蓮縣,住宅,64215554,31.55,,
11411,花蓮縣,服務業,55337452,27.19,,
11411,花蓮縣,農林漁牧,2466536,1.21,,
11411,花蓮縣,工業,81524160,40.05,,
11411,基隆市,住宅,70866656,53.36,,
11411,基隆市,服務業,44257458,33.32,,
11411,基隆市,農林漁牧,395776,0.3,,
11411,基隆市,工業,17300187,13.03,,
11411,新竹市,住宅,123287723,15.84,,
11411,新竹市,服務業,102488472,13.17,,
11411,新竹市,農林漁牧,768247,0.1,,
11411,新竹市,工業,551782753,70.89,,
11411,嘉義市,住宅,57420959,50.75,,
11411,嘉義市,服務業,47643467,42.11,,
11411,嘉義市,農林漁牧,760659,0.67,,
11411,嘉義市,工業,7320584,6.47,,
11411,澎湖縣,住宅,20966843,47.64,,
11411,澎湖縣,服務業,17819376,40.49,,
11411,澎湖縣,農林漁牧,456299,1.04,,
11411,澎湖縣,工業,4766301,10.83,,
11411,金門縣,住宅,15761751,50.99,,
11411,金門縣,服務業,11765388,38.06,,
11411,金門縣,農林漁牧,324873,1.05,,
11411,金門縣,工業,3060538,9.9,,
11411,連江縣,住宅,2933775,43.31,,
11411,連江縣,服務業,3090686,45.63,,
11411,連江縣,農林漁牧,6988,0.1,,
11411,連江縣,工業,741915,10.95,,
11410,新北市,住宅,1033985776,47.23,,
11410,新北市,服務業,639161517,29.2,,
11410,新北市,農林漁牧,2494162,0.11,,
11410,新北市,工業,513626999,23.46,,
11410,台北市,住宅,619967708,40,,
11410,台北市,服務業,882457904,56.94,,
11410,台北市,農林漁牧,201481,0.01,,
11410,台北市,工業,47164330,3.04,,
11410,桃園市,住宅,649045214,23.36,,
11410,桃園市,服務業,470501821,16.94,,
11410,桃園市,農林漁牧,6671449,0.24,,
11410,桃園市,工業,1651995491,59.46,,
11410,台中市,住宅,719415131,22.43,,
11410,台中市,服務業,572371369,17.85,,
11410,台中市,農林漁牧,15749007,0.49,,
11410,台中市,工業,1899909237,59.23,,
11410,台南市,住宅,456350191,14.8,,
11410,台南市,服務業,307388722,9.97,,
11410,台南市,農林漁牧,46360734,1.5,,
11410,台南市,工業,2272773010,73.72,,
11410,高雄市,住宅,545537520,20.31,,
11410,高雄市,服務業,512638018,19.08,,
11410,高雄市,農林漁牧,24962302,0.93,,
11410,高雄市,工業,1603085632,59.68,,
11410,宜蘭縣,住宅,120174346,35.61,,
11410,宜蘭縣,服務業,83334839,24.69,,
11410,宜蘭縣,農林漁牧,8002032,2.37,,
11410,宜蘭縣,工業,125981606,37.33,,
11410,新竹縣,住宅,172254813,13.91,,
11410,新竹縣,服務業,110158261,8.9,,
11410,新竹縣,農林漁牧,2328107,0.19,,
11410,新竹縣,工業,953617516,77.01,,
11410,苗栗縣,住宅,123225981,17.68,,
11410,苗栗縣,服務業,68277785,9.8,,
11410,苗栗縣,農林漁牧,3664991,0.53,,
11410,苗栗縣,工業,501847299,72,,
11410,彰化縣,住宅,271174488,24.71,,
11410,彰化縣,服務業,266504224,24.29,,
11410,彰化縣,農林漁牧,58461464,5.33,,
11410,彰化縣,工業,501261431,45.68,,
11410,南投縣,住宅,103091194,36.86,,
11410,南投縣,服務業,65231575,23.32,,
11410,南投縣,農林漁牧,12277315,4.39,,
11410,南投縣,工業,99085015,35.43,,
11410,雲林縣,住宅,150580479,27.99,,
11410,雲林縣,服務業,78420900,14.58,,
11410,雲林縣,農林漁牧,49519155,9.2,,
11410,雲林縣,工業,259517004,48.23,,
11410,嘉義縣,住宅,93989879,31.84,,
11410,嘉義縣,服務業,51670661,17.5,,
11410,嘉義縣,農林漁牧,29745454,10.08,,
11410,嘉義縣,工業,119778367,40.58,,
11410,屏東縣,住宅,162095419,35.61,,
11410,屏東縣,服務業,112267341,24.66,,
11410,屏東縣,農林漁牧,69225537,15.21,,
11410,屏東縣,工業,111586790,24.52,,
11410,台東縣,住宅,47417466,47.68,,
11410,台東縣,服務業,38468674,38.68,,
11410,台東縣,農林漁牧,2856085,2.87,,
11410,台東縣,工業,10710956,10.77,,
11410,花蓮縣,住宅,77400972,33.94,,
11410,花蓮縣,服務業,64431869,28.26,,
11410,花蓮縣,農林漁牧,2763308,1.21,,
11410,花蓮縣,工業,83427800,36.59,,
11410,基隆市,住宅,91155365,56.13,,
11410,基隆市,服務業,52587054,32.38,,
11410,基隆市,農林漁牧,519019,0.32,,
11410,基隆市,工業,18135847,11.17,,
11410,新竹市,住宅,118745351,14.23,,
11410,新竹市,服務業,118465320,14.2,,
11410,新竹市,農林漁牧,1039422,0.12,,
11410,新竹市,工業,596236515,71.45,,
11410,嘉義市,住宅,59420716,49.43,,
11410,嘉義市,服務業,52095090,43.33,,
11410,嘉義市,農林漁牧,904992,0.75,,
11410,嘉義市,工業,7796760,6.49,,
11410,澎湖縣,住宅,21305123,46.12,,
11410,澎湖縣,服務業,19200822,41.56,,
11410,澎湖縣,農林漁牧,525775,1.14,,
11410,澎湖縣,工業,5166439,11.18,,
11410,金門縣,住宅,14460178,46.52,,
11410,金門縣,服務業,12380106,39.83,,
11410,金門縣,農林漁牧,402376,1.29,,
11410,金門縣,工業,3840597,12.36,,
11410,連江縣,住宅,3805615,42.35,,
11410,連江縣,服務業,4371006,48.64,,
11410,連江縣,農林漁牧,12304,0.14,,
11410,連江縣,工業,798036,8.88,,
11409,新北市,住宅,1035545978,46.45,,
11409,新北市,服務業,"672,661,509",30.18,,
11409,新北市,農林漁牧,2835364,0.13,,
11409,新北市,工業,518126031,23.24,,
11409,台北市,住宅,636442961,39.31,,
11409,台北市,服務業,"926,443,657",57.22,,
11409,台北市,農林漁牧,186623,0.01,,
11409,台北市,工業,56087932,3.46,,
11409,桃園市,住宅,553313824,20.66,,
11409,桃園市,服務業,"465,772,326",17.39,,
11409,桃園市,農林漁牧,6312900,0.24,,
11409,桃園市,工業,1652335352,61.71,,
11409,台中市,住宅,697365816,22.06,,
11409,台中市,服務業,"565,311,358",17.89,,
11409,台中市,農林漁牧,15190628,0.48,,
11409,台中市,工業,1882693652,59.57,,
11409,台南市,住宅,442014952,14.82,,
11409,台南市,服務業,"294,270,864",9.87,,
11409,台南市,農林漁牧,43236209,1.45,,
11409,台南市,工業,2202774860,73.86,,
11409,高雄市,住宅,703039982,25.27,,
11409,高雄市,服務業,"503,406,369",18.09,,
11409,高雄市,農林漁牧,23303682,0.84,,
11409,高雄市,工業,1552531896,55.8,,
11409,宜蘭縣,住宅,106786726,32.38,,
11409,宜蘭縣,服務業,"85,612,255",25.96,,
11409,宜蘭縣,農林漁牧,7836065,2.38,,
11409,宜蘭縣,工業,129564133,39.29,,
11409,新竹縣,住宅,155764452,12.96,,
11409,新竹縣,服務業,"105,106,992",8.74,,
11409,新竹縣,農林漁牧,2651754,0.22,,
11409,新竹縣,工業,938392318,78.07,,
11409,苗栗縣,住宅,136130396,18.97,,
11409,苗栗縣,服務業,"68,648,355",9.57,,
11409,苗栗縣,農林漁牧,3489460,0.49,,
11409,苗栗縣,工業,509327537,70.98,,
11409,彰化縣,住宅,264244256,24.68,,
11409,彰化縣,服務業,"251,788,526",23.51,,
11409,彰化縣,農林漁牧,54351981,5.08,,
11409,彰化縣,工業,500497445,46.74,,
11409,南投縣,住宅,81602953,32.54,,
11409,南投縣,服務業,"58,683,243",23.4,,
11409,南投縣,農林漁牧,11120122,4.43,,
11409,南投縣,工業,99345184,39.62,,
11409,雲林縣,住宅,150154274,28,,
11409,雲林縣,服務業,"81,167,758",15.14,,
11409,雲林縣,農林漁牧,46260432,8.63,,
11409,雲林縣,工業,258598867,48.23,,
11409,嘉義縣,住宅,102010873,34.12,,
11409,嘉義縣,服務業,"52,218,650",17.47,,
