TOWNCODE,COUNTYNAME,TOWNNAME,郵遞區號,行政區,electricity_consume_residential,electricity_consume_commercial,electricity_consume_total,electricity_price_industrial,electricity_price_commercial
10005170.0,苗栗縣,獅潭鄉,354,獅潭,2556.7023191170124,17155.971839273792,11437922.4,0.08748538011695907,0.10959064327485381
10005060.0,苗栗縣,後龍鎮,356,後龍,2881.9255548549345,15856.004018043928,210628683.4,0.08748538011695907,0.10959064327485381
10005030.0,苗栗縣,通霄鎮,357,通霄,2845.6050736505713,13306.785236756643,325922430.6,0.08748538011695907,0.10959064327485381
10005020.0,苗栗縣,苑裡鎮,358,苑裡,3026.3351714758624,16922.27229097099,219016722.4,0.08748538011695907,0.10959064327485381
10005010.0,苗栗縣,苗栗市,360,苗栗,3132.268955429278,14696.609860066668,960465230.4,0.08748538011695907,0.10959064327485381
10005150.0,苗栗縣,造橋鄉,361,造橋,2786.502854140089,17607.920920388555,164487020.6,0.08748538011695907,0.10959064327485381
10005120.0,苗栗縣,頭屋鄉,362,頭屋,2945.004350478891,13901.455533588352,47558681.2,0.08748538011695907,0.10959064327485381
10005090.0,苗栗縣,公館鄉,363,公館,3019.0247169899512,17196.729796140455,90881684.0,0.08748538011695907,0.10959064327485381
10005080.0,苗栗縣,大湖鄉,364,大湖,2581.0125259351094,14359.594731169762,37137164.0,0.08748538011695907,0.10959064327485381
10005180.0,苗栗縣,泰安鄉,365,泰安,2725.5171242487536,27402.96870116417,33092516.4,0.08748538011695907,0.10959064327485381
10005100.0,苗栗縣,銅鑼鄉,366,銅鑼,3043.467307132368,19433.32369054546,484534598.2,0.08748538011695907,0.10959064327485381
10005130.0,苗栗縣,三義鄉,367,三義,3392.7770218615015,13330.098055014114,201914947.2,0.08748538011695907,0.10959064327485381
10005140.0,苗栗縣,西湖鄉,368,西湖,2630.6995273519456,12470.324865320474,602147538.0,0.08748538011695907,0.10959064327485381
10005070.0,苗栗縣,卓蘭鎮,369,卓蘭,2242.412969713119,13912.071310897201,45767884.4,0.08748538011695907,0.10959064327485381
66000010.0,臺中市,中區,400,中區,3400.6786762866227,16669.506186156817,181097353.2,0.08748538011695907,0.10959064327485381
66000020.0,臺中市,東區,401,東區,3763.6292842667294,14639.90220073647,359243550.8,0.08748538011695907,0.10959064327485381
66000030.0,臺中市,南區,402,南區,3626.4171609541563,14059.595817143252,589344634.2,0.08748538011695907,0.10959064327485381
66000040.0,臺中市,西區,403,西區,3925.631329023079,16578.065436126326,710957036.6,0.08748538011695907,0.10959064327485381
66000050.0,臺中市,北區,404,北區,3792.6013348049796,15352.657316475199,808811226.8,0.08748538011695907,0.10959064327485381
66000080.0,臺中市,北屯區,406,北屯區,3744.3841374284057,16958.80152607226,1015431092.0,0.08748538011695907,0.10959064327485381
66000060.0,臺中市,西屯區,407,西屯區,4077.036321307067,18845.07294673092,8114158864.8,0.08748538011695907,0.10959064327485381
