"資料期別","縣市","鄉鎮市區","設有戶籍住宅之平均人口數"
"098Q1","嘉義縣","",4.81
"098Q1","嘉義縣","太保市",4.42
"098Q1","嘉義縣","朴子市",4.55
"098Q1","嘉義縣","布袋鎮",4.97
"098Q1","嘉義縣","大林鎮",4.38
"098Q1","嘉義縣","民雄鄉",4.30
"098Q1","嘉義縣","溪口鄉",5.85
"098Q1","嘉義縣","新港鄉",5.52
"098Q1","嘉義縣","六腳鄉",5.70
"098Q1","嘉義縣","東石鄉",5.85
"098Q1","嘉義縣","義竹鄉",5.37
"098Q1","嘉義縣","鹿草鄉",5.39
"098Q1","嘉義縣","水上鄉",4.12
"098Q1","嘉義縣","中埔鄉",4.71
"098Q1","嘉義縣","竹崎鄉",5.28
"098Q1","嘉義縣","梅山鄉",5.05
"098Q1","嘉義縣","番路鄉",4.55
"098Q1","嘉義縣","大埔鄉",5.55
"098Q1","嘉義縣","阿里山鄉",5.18
"098Q1","屏東縣","",4.38
"098Q1","屏東縣","屏東市",3.67
"098Q1","屏東縣","潮州鎮",3.83
"098Q1","屏東縣","東港鎮",4.62
"098Q1","屏東縣","恆春鎮",4.14
"098Q1","屏東縣","萬丹鄉",4.72
"098Q1","屏東縣","長治鄉",4.33
"098Q1","屏東縣","麟洛鄉",4.03
"098Q1","屏東縣","九如鄉",4.57
"098Q1","屏東縣","里港鄉",4.70
"098Q1","屏東縣","鹽埔鄉",5.37
"098Q1","屏東縣","高樹鄉",5.51
"098Q1","屏東縣","萬巒鄉",5.43
"098Q1","屏東縣","內埔鄉",4.60
"098Q1","屏東縣","竹田鄉",4.40
"098Q1","屏東縣","新埤鄉",4.99
"098Q1","屏東縣","枋寮鄉",4.30
"098Q1","屏東縣","新園鄉",5.04
"098Q1","屏東縣","崁頂鄉",6.23
"098Q1","屏東縣","林邊鄉",4.75
"098Q1","屏東縣","南州鄉",4.67
"098Q1","屏東縣","佳冬鄉",5.26
"098Q1","屏東縣","琉球鄉",5.56
"098Q1","屏東縣","車城鄉",4.29
"098Q1","屏東縣","滿州鄉",4.21
"098Q1","屏東縣","枋山鄉",4.46
"098Q1","屏東縣","三地門鄉",5.37
"098Q1","屏東縣","霧台鄉",3.84
"098Q1","屏東縣","瑪家鄉",5.52
"098Q1","屏東縣","泰武鄉",6.56
"098Q1","屏東縣","來義鄉",4.94
"098Q1","屏東縣","春日鄉",5.08
"098Q1","屏東縣","獅子鄉",4.64
"098Q1","屏東縣","牡丹鄉",4.46
"098Q1","台東縣","",3.83
"098Q1","台東縣","台東市",3.75
"098Q1","台東縣","成功鎮",3.82
"098Q1","台東縣","關山鎮",4.05
"098Q1","台東縣","卑南鄉",3.90
"098Q1","台東縣","大武鄉",3.83
"098Q1","台東縣","太麻里鄉",3.72
"098Q1","台東縣","東河鄉",3.42
"098Q1","台東縣","長濱鄉",3.33
"098Q1","台東縣","鹿野鄉",3.80
"098Q1","台東縣","池上鄉",3.91
"098Q1","台東縣","綠島鄉",5.68
"098Q1","台東縣","延平鄉",4.78
"098Q1","台東縣","海端鄉",5.26
"098Q1","台東縣","達仁鄉",3.67
"098Q1","台東縣","金峰鄉",5.16
"098Q1","台東縣","蘭嶼鄉",4.34
"098Q1","花蓮縣","",3.70
"098Q1","花蓮縣","花蓮市",3.68
"098Q1","花蓮縣","鳳林鎮",3.45
"098Q1","花蓮縣","玉里鎮",4.00
"098Q1","花蓮縣","新城鄉",3.46
"098Q1","花蓮縣","吉安鄉",3.40
"098Q1","花蓮縣","壽豐鄉",3.67
"098Q1","花蓮縣","光復鄉",3.65
"098Q1","花蓮縣","豐濱鄉",3.63
"098Q1","花蓮縣","瑞穗鄉",3.68
"098Q1","花蓮縣","富里鄉",3.82
"098Q1","花蓮縣","秀林鄉",5.18
"098Q1","花蓮縣","萬榮鄉",5.41
"098Q1","花蓮縣","卓溪鄉",4.85
"098Q1","澎湖縣","",4.04
"098Q1","澎湖縣","馬公市",3.82
"098Q1","澎湖縣","湖西鄉",4.14
"098Q1","澎湖縣","白沙鄉",4.66
"098Q1","澎湖縣","西嶼鄉",4.09
"098Q1","澎湖縣","望安鄉",5.47
"098Q1","澎湖縣","七美鄉",4.73
"098Q1","基隆市","",3.21
"098Q1","基隆市","中正區",3.09
"098Q1","基隆市","七堵區",3.34
"098Q1","基隆市","暖暖區",3.15
"098Q1","基隆市","仁愛區",3.52
"098Q1","基隆市","中山區",3.25
"098Q1","基隆市","安樂區",3.15
"098Q1","基隆市","信義區",3.04
"098Q1","新竹市","",3.69
"098Q1","新竹市","新竹市",3.69
"098Q1","嘉義市","",4.03
"098Q1","嘉義市","嘉義市",4.03
"098Q1","金門縣","",5.95
"098Q1","金門縣","金城鎮",6.01
"098Q1","金門縣","金湖鎮",5.79
"098Q1","金門縣","金沙鎮",5.44
"098Q1","金門縣","金寧鄉",6.21
"098Q1","金門縣","烈嶼鄉",6.53
"098Q1","金門縣","烏坵鄉",8.68
"098Q1","連江縣","",8.66
"098Q1","連江縣","南竿鄉",9.79
"098Q1","連江縣","北竿鄉",7.65
"098Q1","連江縣","莒光鄉",8.93
"098Q1","連江縣","東引鄉",5.91
"098Q1","台中縣(99年以前)","",4.33
"098Q1","台中縣(99年以前)","豐原市",4.38
"098Q1","台中縣(99年以前)","東勢鎮",4.60
"098Q1","台中縣(99年以前)","大甲鎮",4.91
"098Q1","台中縣(99年以前)","清水鎮",4.88
"098Q1","台中縣(99年以前)","沙鹿鎮",4.32
"098Q1","台中縣(99年以前)","梧棲鎮",4.43
"098Q1","台中縣(99年以前)","神岡鄉",4.72
"098Q1","台中縣(99年以前)","后里鄉",5.03
"098Q1","台中縣(99年以前)","大雅鄉",4.19
"098Q1","台中縣(99年以前)","潭子鄉",3.80
"098Q1","台中縣(99年以前)","新社鄉",4.48
"098Q1","台中縣(99年以前)","石岡鄉",4.73
"098Q1","台中縣(99年以前)","外埔鄉",4.84
"098Q1","台中縣(99年以前)","大安鄉",5.39
"098Q1","台中縣(99年以前)","烏日鄉",4.28
"098Q1","台中縣(99年以前)","大肚鄉",4.43
"098Q1","台中縣(99年以前)","龍井鄉",4.76
"098Q1","台中縣(99年以前)","霧峰鄉",4.39
"098Q1","台中縣(99年以前)","太平市",3.89
"098Q1","台中縣(99年以前)","大里市",3.94
"098Q1","台中縣(99年以前)","和平鄉",3.59
"098Q1","台南縣(99年以前)","",4.00
"098Q1","台南縣(99年以前)","新營市",3.59
"098Q1","台南縣(99年以前)","鹽水鎮",4.07
"098Q1","台南縣(99年以前)","白河鎮",4.62
"098Q1","台南縣(99年以前)","柳營鄉",4.27
"098Q1","台南縣(99年以前)","後壁鄉",4.28
"098Q1","台南縣(99年以前)","東山鄉",4.76
"098Q1","台南縣(99年以前)","麻豆鎮",4.12
"098Q1","台南縣(99年以前)","下營鄉",4.39
"098Q1","台南縣(99年以前)","六甲鄉",4.31
"098Q1","台南縣(99年以前)","官田鄉",4.14
"098Q1","台南縣(99年以前)","大內鄉",4.54
"098Q1","台南縣(99年以前)","佳里鎮",3.98
"098Q1","台南縣(99年以前)","西港鄉",4.48
"098Q1","台南縣(99年以前)","七股鄉",5.16
"098Q1","台南縣(99年以前)","將軍鄉",4.70
"098Q1","台南縣(99年以前)","北門鄉",5.01
"098Q1","台南縣(99年以前)","學甲鎮",4.18
