TOWNCODE,COUNTYNAME,TOWNNAME,education_high_school_graduate,education_less_than_high_school,education_college,education_college_rate,education_high_school_graduate_rate,education_less_than_high_school_rate,employ_rate
10002120,宜蘭縣,南澳鄉,106167.0,134944.0,121998.0,0.335981757543878,0.2923832788501524,0.37163496360596954,0.96175
10004010,新竹縣,竹北市,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004020,新竹縣,竹東鎮,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004030,新竹縣,新埔鎮,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004040,新竹縣,關西鎮,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004050,新竹縣,湖口鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004060,新竹縣,新豐鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004070,新竹縣,芎林鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004080,新竹縣,橫山鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004090,新竹縣,北埔鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004100,新竹縣,寶山鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004110,新竹縣,峨眉鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004120,新竹縣,尖石鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10004130,新竹縣,五峰鄉,135680.0,111369.0,254561.0,0.5074878889974282,0.2704890253384103,0.2220230856641614,0.9626666666666667
10005010,苗栗縣,苗栗市,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005020,苗栗縣,苑裡鎮,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005030,苗栗縣,通霄鎮,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005040,苗栗縣,竹南鎮,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005050,苗栗縣,頭份市,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005060,苗栗縣,後龍鎮,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005070,苗栗縣,卓蘭鎮,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005080,苗栗縣,大湖鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005090,苗栗縣,公館鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005100,苗栗縣,銅鑼鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005110,苗栗縣,南庄鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005120,苗栗縣,頭屋鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005130,苗栗縣,三義鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005140,苗栗縣,西湖鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005150,苗栗縣,造橋鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005160,苗栗縣,三灣鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005170,苗栗縣,獅潭鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10005180,苗栗縣,泰安鄉,140033.0,141089.0,145135.0,0.34048707704506903,0.3285177721421584,0.3309951508127726,0.9624999999999999
10007010,彰化縣,彰化市,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007020,彰化縣,鹿港鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007030,彰化縣,和美鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007040,彰化縣,線西鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007050,彰化縣,伸港鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007060,彰化縣,福興鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007070,彰化縣,秀水鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007080,彰化縣,花壇鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007090,彰化縣,芬園鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007100,彰化縣,員林市,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007110,彰化縣,溪湖鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007120,彰化縣,田中鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007130,彰化縣,大村鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007140,彰化縣,埔鹽鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007150,彰化縣,埔心鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007160,彰化縣,永靖鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007170,彰化縣,社頭鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007180,彰化縣,二水鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007190,彰化縣,北斗鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007200,彰化縣,二林鎮,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007210,彰化縣,田尾鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007220,彰化縣,埤頭鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007230,彰化縣,芳苑鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007240,彰化縣,大城鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007250,彰化縣,竹塘鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10007260,彰化縣,溪州鄉,301678.0,354718.0,313514.0,0.3232403006464517,0.31103710653565797,0.3657225928178903,0.963
10008010,南投縣,南投市,117335.0,133575.0,111650.0,0.3079490291262136,0.3236291924095322,0.36842177846425417,0.9623333333333334
10008020,南投縣,埔里鎮,117335.0,133575.0,111650.0,0.3079490291262136,0.3236291924095322,0.36842177846425417,0.9623333333333334
10008030,南投縣,草屯鎮,117335.0,133575.0,111650.0,0.3079490291262136,0.3236291924095322,0.36842177846425417,0.9623333333333334
